BACKPROPAGATION LEARNING ALGORITHM
Enter the number of input units:
2
Enter the number of hidden units:
2
Enter the number of output units:
1
Enter the learning rate:
0.9
Enter the maximum number of training epochs:
10000
Enter the SSE stopping criterion:
0.001
Enter the training set file name:
/home/noelle/Classes/2012-2013/Fall/CSE175/Programs/PA4/TestCases/Linux/xor.dat
Enter the testing set file name:
/home/noelle/Classes/2012-2013/Fall/CSE175/Programs/PA4/TestCases/Linux/xor.dat
Epoch 4050:  SSE = 0.0010194144383152484.
Epoch 4060:  SSE = 0.0010157633337526334.
Epoch 4070:  SSE = 0.0010121376935191058.
Epoch 4080:  SSE = 0.0010085372551168416.
Epoch 4090:  SSE = 0.001004961759618453.
Epoch 4100:  SSE = 0.0010014109516067581.
Final Epoch 4104:  SSE = 9.99997484343366E-4.


INPUT:   0.000000 0.000000
OUTPUT:  0.022453
TARGET:  0.000000
SSE = 0.000252

INPUT:   0.000000 1.000000
OUTPUT:  0.974343
TARGET:  1.000000
SSE = 0.000329

INPUT:   1.000000 0.000000
OUTPUT:  0.979060
TARGET:  1.000000
SSE = 0.000219

INPUT:   1.000000 1.000000
OUTPUT:  0.019959
TARGET:  0.000000
SSE = 0.000199
Testing SSE = 9.99644726535855E-4.

ARTIFICIAL NEURAL NETWORK RUN COMPLETE
